State,PC_Name,Total Electors,Polled (%),Total Votes,Phase,Amount spent (INR)
andaman & nicobar islands,Andaman & Nicobar Islands,315148,64.1,202018,1,
arunachal pradesh,Arunachal East,375310,83.31,312658,1,1385654
arunachal pradesh,Arunachal West,517384,73.6,380783,1,1385654
assam,Dibrugarh,1659588,76.75,1273744,1,17478091
assam,Jorhat,1727121,79.89,1379749,1,17478091
assam,Kaziranga,2050126,79.33,1626408,1,17478091
assam,Lakhimpur,1577234,76.42,1205331,1,17478091
assam,Sonitpur,1633800,78.46,1281959,1,17478091
bihar,Aurangabad,1871564,50.35,942382,1,53619242
bihar,Gaya,1816815,52.76,958623,1,53619242
bihar,Jamui,1907126,51.25,977369,1,53619242
bihar,Nawada,2006124,43.17,866102,1,53619242
chhattisgarh,BASTAR,1472207,68.29,1005392,1,14803286
jammu and kashmir,UDHAMPUR,1623195,68.27,1108206,1,6575061
lakshadweep,Lakshadweep,57784,84.16,48630,1,19847
madhya pradesh,BALAGHAT,1873653,73.45,1376207,1,39992952
madhya pradesh,CHHINDWARA,1632190,79.83,1303001,1,39992952
madhya pradesh,JABALPUR,1896346,61,1156722,1,39992952
madhya pradesh,MANDLA,2101811,72.84,1530861,1,39992952
madhya pradesh,SHAHDOL,1777185,64.68,1149506,1,39992952
madhya pradesh,SIDHI,2028451,56.5,1146150,1,39992952
maharashtra,Bhandara Gondiya,1827188,67.04,1224928,1,101917091
maharashtra,Chandrapur,1837906,67.55,1241574,1,101917091
maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476,1,101917091
maharashtra,Nagpur,2223281,54.32,1207738,1,101917091
maharashtra,Ramtek,2049085,61.01,1250190,1,101917091
manipur,Inner Manipur,991574,80.15,794790,1,889062
manipur,Outer Manipur,553078,68.83,380688,1,889062
meghalaya,Shillong,1400411,73.78,1033251,1,884220
meghalaya,Tura,826156,81.37,672284,1,884220
mizoram,MIZORAM,856364,56.87,487013,1,481052
nagaland,Nagaland,1317536,57.72,760507,1,599170
puducherry,PUDUCHERRY,1023699,78.9,807724,1,1535672
rajasthan,ALWAR,2059888,60.07,1237446,1,41268323
rajasthan,BHARATPUR,2114916,52.8,1116742,1,41268323
rajasthan,BIKANER,2048399,54.11,1108418,1,41268323
rajasthan,CHURU,2213187,63.61,1407716,1,41268323
rajasthan,DAUSA,1899304,55.72,1058386,1,41268323
rajasthan,GANGANAGAR,2102002,66.59,1399688,1,41268323
rajasthan,JAIPUR,2287350,63.38,1449612,1,41268323
rajasthan,JAIPUR RURAL,2184978,56.7,1238818,1,41268323
rajasthan,JHUNJHUNU,2068540,52.93,1094900,1,41268323
rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618,1,41268323
rajasthan,NAGAUR,2146725,57.23,1228494,1,41268323
rajasthan,SIKAR,2214900,57.53,1274270,1,41268323
sikkim,Sikkim,464140,79.88,370765,1,4379297
tamil nadu,ARAKKONAM,1562871,74.19,1159441,1,76622608
tamil nadu,ARANI,1496118,75.76,1133520,1,76622608
tamil nadu,CHENNAI CENTRAL,1350161,53.96,728614,1,76622608
tamil nadu,CHENNAI NORTH,1496224,60.11,899367,1,76622608
tamil nadu,CHENNAI SOUTH,2023133,54.17,1096026,1,76622608
tamil nadu,CHIDAMBARAM,1519847,76.37,1160762,1,76622608
tamil nadu,COIMBATORE,2106124,64.89,1366597,1,76622608
tamil nadu,CUDDALORE,1412746,72.57,1025298,1,76622608
tamil nadu,DHARMAPURI,1524896,81.2,1238184,1,76622608
tamil nadu,DINDIGUL,1607051,71.14,1143196,1,76622608
tamil nadu,ERODE,1538778,70.59,1086287,1,76622608
tamil nadu,KALLAKURICHI,1568681,79.21,1242597,1,76622608
tamil nadu,KANCHEEPURAM,1748866,71.68,1253582,1,76622608
tamil nadu,KANNIYAKUMARI,1557915,65.44,1019532,1,76622608
tamil nadu,KARUR,1429790,78.7,1125241,1,76622608
tamil nadu,KRISHNAGIRI,1623179,71.5,1160498,1,76622608
tamil nadu,MADURAI,1582271,62.04,981650,1,76622608
tamil nadu,MAYILADUTHURAI,1545568,70.09,1083243,1,76622608
tamil nadu,NAGAPATTINAM,1345120,71.94,967694,1,76622608
tamil nadu,NAMAKKAL,1452562,78.21,1136069,1,76622608
tamil nadu,NILGIRIS,1428387,70.95,1013410,1,76622608
tamil nadu,PERAMBALUR,1446352,77.43,1119881,1,76622608
tamil nadu,POLLACHI,1597467,70.41,1124743,1,76622608
tamil nadu,RAMANATHAPURAM,1617688,68.19,1103036,1,76622608
tamil nadu,SALEM,1658681,78.16,1296481,1,76622608
tamil nadu,SIVAGANGA,1633857,64.26,1049887,1,76622608
tamil nadu,SRIPERUMBUDUR,2382119,60.25,1435243,1,76622608
tamil nadu,TENKASI,1525439,67.65,1031961,1,76622608
tamil nadu,THANJAVUR,1501226,68.27,1024949,1,76622608
tamil nadu,THENI,1622949,69.84,1133513,1,76622608
tamil nadu,THOOTHUKKUDI,1458430,66.88,975468,1,76622608
tamil nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093,1,76622608
tamil nadu,TIRUNELVELI,1654503,64.1,1060461,1,76622608
tamil nadu,TIRUPPUR,1608521,70.62,1135998,1,76622608
tamil nadu,TIRUVALLUR,2085991,68.59,1430738,1,76622608
tamil nadu,TIRUVANNAMALAI,1533099,74.24,1138102,1,76622608
tamil nadu,VELLORE,1528273,73.53,1123715,1,76622608
tamil nadu,VILUPPURAM,1503115,76.52,1150164,1,76622608
tamil nadu,VIRUDHUNAGAR,1501942,70.22,1054634,1,76622608
tripura,Tripura West,1463526,81.48,1192435,1,1857459
uttar pradesh,Bijnor,1738307,58.73,1020947,1,89668131
uttar pradesh,Kairana,1722432,62.46,1075839,1,89668131
uttar pradesh,Moradabad,2059578,62.18,1280706,1,89668131
uttar pradesh,Muzaffarnagar,1817472,59.13,1074608,1,89668131
uttar pradesh,Nagina,1644909,60.75,999203,1,89668131
uttar pradesh,Pilibhit,1831699,63.11,1155917,1,89668131
uttar pradesh,Rampur,1731836,55.85,967200,1,89668131
uttar pradesh,Saharanpur,1855310,66.14,1227083,1,89668131
uttarakhand,Almora,1339327,48.74,652726,1,7140897
uttarakhand,Garhwal,1369388,52.42,717834,1,7140897
uttarakhand,Haridwar,2035726,63.53,1293362,1,7140897
uttarakhand,Nainital-Udhamsingh Nagar,2015809,62.47,1259180,1,7140897
uttarakhand,Tehri Garhwal,1577664,53.76,848186,1,7140897
west bengal,Alipurduars,1773252,79.76,1414258,1,77244996
west bengal,Coochbehar,1966893,82.16,1616079,1,77244996
west bengal,Jalpaiguri,1885963,83.66,1577828,1,77244996
assam,Darrang-Udalguri,2209314,82.01,1811764,2,17478091
assam,Diphu,901032,75.74,682441,2,17478091
assam,Karimganj,1412148,80.48,1136538,2,17478091
assam,Nagaon,1817204,84.97,1544081,2,17478091
assam,Silchar,1369578,79.05,1082616,2,17478091
